Stripe Distribution Report
==========================

Node 01 distribution:
  D_1_0 -> /mnt/nvme0/D_1_0
  D_1_1 -> /mnt/nvme1/D_1_1
  D_1_2 -> /mnt/nvme2/D_1_2
  G_1_0 -> /mnt/nvme3/G_1_0
  D_2_3 -> /mnt/nvme3/D_2_3
  D_2_4 -> /mnt/nvme4/D_2_4
  L_2_0 -> /mnt/nvme5/L_2_0
  D_3_0 -> /mnt/nvme0/D_3_0
  D_3_1 -> /mnt/nvme1/D_3_1
  D_3_2 -> /mnt/nvme2/D_3_2
  D_4_3 -> /mnt/nvme3/D_4_3
  D_4_4 -> /mnt/nvme4/D_4_4
  G_4_1 -> /mnt/nvme1/G_4_1
  L_4_0 -> /mnt/nvme5/L_4_0
  D_5_0 -> /mnt/nvme0/D_5_0
  D_5_1 -> /mnt/nvme1/D_5_1
  D_5_2 -> /mnt/nvme2/D_5_2
  D_6_3 -> /mnt/nvme3/D_6_3
  D_6_4 -> /mnt/nvme4/D_6_4
  L_6_0 -> /mnt/nvme5/L_6_0
  D_7_0 -> /mnt/nvme0/D_7_0
  D_7_1 -> /mnt/nvme1/D_7_1
  D_7_2 -> /mnt/nvme2/D_7_2
  D_8_3 -> /mnt/nvme3/D_8_3
  D_8_4 -> /mnt/nvme4/D_8_4
  G_8_1 -> /mnt/nvme0/G_8_1
  L_8_0 -> /mnt/nvme5/L_8_0
  D_9_0 -> /mnt/nvme0/D_9_0
  D_9_1 -> /mnt/nvme1/D_9_1
  D_9_2 -> /mnt/nvme2/D_9_2
  D_10_3 -> /mnt/nvme3/D_10_3
  D_10_4 -> /mnt/nvme4/D_10_4
  L_10_0 -> /mnt/nvme5/L_10_0
  D_11_0 -> /mnt/nvme0/D_11_0
  D_11_1 -> /mnt/nvme1/D_11_1
  D_11_2 -> /mnt/nvme2/D_11_2
  D_12_3 -> /mnt/nvme3/D_12_3
  D_12_4 -> /mnt/nvme4/D_12_4
  G_12_1 -> /mnt/nvme1/G_12_1
  L_12_0 -> /mnt/nvme5/L_12_0
  D_13_0 -> /mnt/nvme0/D_13_0
  D_13_1 -> /mnt/nvme1/D_13_1
  D_13_2 -> /mnt/nvme2/D_13_2
  D_14_3 -> /mnt/nvme3/D_14_3
  D_14_4 -> /mnt/nvme4/D_14_4
  L_14_0 -> /mnt/nvme5/L_14_0
  D_15_0 -> /mnt/nvme0/D_15_0
  D_15_1 -> /mnt/nvme1/D_15_1
  D_15_2 -> /mnt/nvme2/D_15_2
  D_16_3 -> /mnt/nvme3/D_16_3
  D_16_4 -> /mnt/nvme4/D_16_4
  G_16_1 -> /mnt/nvme1/G_16_1
  L_16_0 -> /mnt/nvme5/L_16_0
  D_17_0 -> /mnt/nvme0/D_17_0
  D_17_1 -> /mnt/nvme1/D_17_1
  D_17_2 -> /mnt/nvme2/D_17_2
  D_18_3 -> /mnt/nvme3/D_18_3
  D_18_4 -> /mnt/nvme4/D_18_4
  L_18_0 -> /mnt/nvme5/L_18_0
  D_19_0 -> /mnt/nvme0/D_19_0
  D_19_1 -> /mnt/nvme1/D_19_1
  D_19_2 -> /mnt/nvme2/D_19_2
  D_20_3 -> /mnt/nvme3/D_20_3
